decade,year,channel,video_id,title,start_seconds,end_seconds
1990s,1995,Music,4VPpAZ9_qAw,Martina McBride - Independence Day (Official Video),0,0
1990s,1995,Music,3IUlCNqAKKA,George Strait - I Cross My Heart (Official Music Video),0,0
1990s,1995,Music,hTWKbfoikeg,Nirvana - Smells Like Teen Spirit (Official Music Video),0,0
1990s,1995,Music,WQnAxOQxQIU,Savage Garden - Truly Madly Deeply (Official Video),0,0
1990s,1995,Music,w7y19ED6Vrk,Kiss From A Rose - Seal lyrics,0,0
1990s,1995,Music,ah5gAkna3jI,Gin Blossoms - Hey Jealousy (Official Music Video),0,0
1990s,1995,Music,NPcyTyilmYY,Alanis Morissette - You Oughta Know (Official 4K Music Video),0,0
1990s,1995,Music,eVTXPUF4Oz4,In The End [Official HD Music Video] - Linkin Park,0,0
1990s,1995,Music,7W3DoubNtE4,"Dance Hits 1990: Ft. Madonna, Deee-Lite, Kylie Minogue, Roxette, MC Hammer, Nick Kamen, DNA + more!",0,0
1990s,1995,Music,9AdBRzJLTdg,"90s - 2000s Throwback Hip Hop Rap Video Mix - Dj Presley Ft Dmx, 50 cent JayZ Nelly Ja Rule Ludacris",0,0
1990s,1995,Cartoons,ts7--zxXXKQ,Goof troop theme,0,0
1990s,1995,Cartoons,CMU2NwaaXEA,Duck Tales Theme,0,0
1990s,1995,Cartoons,eLA8lIvOCwQ,Every 90s Cartoon Intro - Part 1,0,0
1990s,1995,Cartoons,EwBX_9SXAJw,Best 90's Cartoon Intros - Classic TV,0,0
1990s,1995,Cartoons,jMEj9kQg3F8,"""Rugrats"" Theme Song (HQ) | Episode Opening Credits | Nick Animation",0,0
1990s,1995,Cartoons,Z2EotmVUdDE,"""Hey Arnold!"" Theme Song (HQ) | Episode Opening Credits | Nick Animation",0,0
1990s,1995,Cartoons,_iD5x08YDnQ,Every 90s Cartoon Intro - Part 2,0,0
1990s,1995,Cartoons,kY53nXOGOz0,90's Cartoon Intro Compilation Part 3,0,0
1990s,1995,Cartoons,M-J4Myp-7Zk,Bobby's World Intro,0,0
1990s,1995,Cartoons,OiYjTb3opAA,Captain Planet - Intro Theme,0,0
1990s,1995,Cartoons,2b2imSfOqSA,🎶 Guess the 90s Cartoon Intro Theme Songs in 6 Seconds! - Ultimate Nostalgia Quiz 🎶,0,0
