decade,year,channel,video_id,title,start_seconds,end_seconds
1980s,1980,Music,LRl13KqIgtz,Music (1980),0,0
1980s,1980,Gameshows,w9RbRR3sEAn,Gameshows (1980),0,0
1980s,1980,Trailers,APoUYA3PXeJ,Trailers (1980),0,0
1980s,1980,Music,V0EUzH8RIk4,Music (1980),0,0
1980s,1980,Trailers,gI1Ei2o7qEv,Trailers (1980),0,0
1980s,1980,Trailers,8UBhBc9rsES,Trailers (1980),0,0
1980s,1980,Movies,EWUKk9esok4,Movies (1980),0,0
1980s,1980,Sports,SKVhcNU2zqY,Sports (1980),0,0
1980s,1980,Commercials,U5YzHV7D_2R,Commercials (1980),0,0
1980s,1980,Trailers,CdQL7VdoeGQ,Trailers (1980),0,0
1980s,1980,Commercials,SZNFakEhXUc,Commercials (1980),0,0
1980s,1980,Music,CmFq31VozJp,Music (1980),0,0
1980s,1980,Sports,R_cOnL8aCQu,Sports (1980),0,0
1980s,1980,Commercials,06ZPHg0AZQw,Commercials (1980),0,0
1980s,1980,Music,TXYwBeWO-wP,Music (1980),0,0
1980s,1980,Commercials,ZUZMeBEQU8D,Commercials (1980),0,0
1980s,1980,Comedy,zEI57DsA_Rr,Comedy (1980),0,0
1980s,1980,Trailers,lgRwdwbMLFE,Trailers (1980),0,0
1980s,1980,Commercials,1mivbBsIKox,Commercials (1980),0,0
1980s,1980,Gameshows,3OMY1WqvOM_,Gameshows (1980),0,0
1980s,1980,Music,YKwQFvXh6U3,Music (1980),0,0
1980s,1980,Music,8C1mq8cEK8D,Music (1980),0,0
1980s,1980,Trailers,gCOcjPJNxY4,Trailers (1980),0,0
1980s,1980,Kids,w9TqgLYUOSM,Kids (1980),0,0
1980s,1980,Gameshows,Cme2SuMMC9K,Gameshows (1980),0,0
1980s,1980,Music,4rQh7gc2Z0y,Music (1980),0,0
1980s,1980,Trailers,CnaHS-KkDAJ,Trailers (1980),0,0
1980s,1980,Trailers,3zDxu59NKpc,Trailers (1980),0,0
1980s,1980,Sports,dnyk5i4cFXZ,Sports (1980),0,0
1980s,1980,Music,1m6DtSxRkQU,Music (1980),0,0
1980s,1980,Trailers,Rqucpt8LbY8,Trailers (1980),0,0
1980s,1980,Cartoons,kg2YINe83Ey,Cartoons (1980),0,0
1980s,1980,Specials,VsayVb4lvUl,Specials (1980),0,0
1980s,1980,Commercials,8c7NnGpPccE,Commercials (1980),0,0
1980s,1980,Sports,e9Y80SddGIP,Sports (1980),0,0
1980s,1980,Commercials,IVSt-5c8u-i,Commercials (1980),0,0
1980s,1980,Music,4--sHR2SQ1J,Music (1980),0,0
1980s,1980,Music,TcAUKaEMQSr,Music (1980),0,0
1980s,1980,Gameshows,UNJVUdKfhRG,Gameshows (1980),0,0
1980s,1980,Sports,ve46ZDqc7Mn,Sports (1980),0,0
1980s,1980,Music,wSH2cMKB3c7,Music (1980),0,0
1980s,1980,Kids,uTifE8ns0dV,Kids (1980),0,0
1980s,1980,Music,w4pcAhwlvWG,Music (1980),0,0
1980s,1980,Cartoons,wOYw87EPU3j,Cartoons (1980),0,0
1980s,1980,Comedy,rWt4CSEKzUp,Comedy (1980),0,0
1980s,1980,Commercials,gjO0sZHWvEp,Commercials (1980),0,0
1980s,1980,Commercials,sy4c05fdwGV,Commercials (1980),0,0
1980s,1980,Commercials,EtIuZq3dna0,Commercials (1980),0,0
1980s,1980,Commercials,YVjkQTJRbID,Commercials (1980),0,0
1980s,1980,Commercials,kl5teU9ATdA,Commercials (1980),0,0
1980s,1980,Movies,jRRITG9cEmd,Movies (1980),0,0
1980s,1980,Commercials,03cVpHVsrDE,Commercials (1980),0,0
1980s,1980,Trailers,KywNMx8DDce,Trailers (1980),0,0
1980s,1980,Music,U1j_RA8Rf-z,Music (1980),0,0
1980s,1980,Commercials,8vHnhMA54IO,Commercials (1980),0,0
1980s,1980,Commercials,UzB0T0Vy0gf,Commercials (1980),0,0
1980s,1980,Comedy,yNBsss8Isz0,Comedy (1980),0,0
1980s,1980,Music,M2w7xt4bRQM,Music (1980),0,0
1980s,1980,Commercials,OyMlUUn_poR,Commercials (1980),0,0
1980s,1980,Sports,ihcAvjaMF2T,Sports (1980),0,0
1980s,1980,Music,xmncF-WOjx-,Music (1980),0,0
1980s,1980,Commercials,74HY4HMb7-z,Commercials (1980),0,0
1980s,1980,Music,e5aEM4kGOQA,Music (1980),0,0
1980s,1980,Commercials,pvi00lBCGk7,Commercials (1980),0,0
1980s,1980,Trailers,k9BD-WQo5he,Trailers (1980),0,0
1980s,1980,Music,mozHjH8DEX_,Music (1980),0,0
1980s,1980,Music,cxPdcBw6ko1,Music (1980),0,0
1980s,1980,Commercials,I9T8bTEc52q,Commercials (1980),0,0
1980s,1980,Sports,sPA8sXY97-i,Sports (1980),0,0
1980s,1980,Comedy,jHQLzv4sGgp,Comedy (1980),0,0
1980s,1980,Music,me2MGSIrd1Y,Music (1980),0,0
1980s,1980,Sports,ypSs5kYF9-Q,Sports (1980),0,0
1980s,1980,Commercials,AvqwOw1TTIT,Commercials (1980),0,0
1980s,1980,Trailers,kbAU5P6IRoz,Trailers (1980),0,0
1980s,1980,Music,hh2Efmi7R0A,Music (1980),0,0
1980s,1980,Commercials,GXcUwh0fQh2,Commercials (1980),0,0
1980s,1980,Commercials,kjJT59KZTMx,Commercials (1980),0,0
1980s,1980,Trailers,uj8Mrygj9g8,Trailers (1980),0,0
1980s,1980,Commercials,HxCcVKMJyY9,Commercials (1980),0,0
1980s,1980,Gameshows,2Dn7DoFAcvu,Gameshows (1980),0,0
1980s,1980,Comedy,PUEGsonEJnh,Comedy (1980),0,0
1980s,1980,Commercials,5B18hyhisAQ,Commercials (1980),0,0
1980s,1980,Trailers,B1V3jKCEquE,Trailers (1980),0,0
1980s,1980,Music,QSrW7Tfqh2J,Music (1980),0,0
1980s,1980,Commercials,tuMAKYYZoj9,Commercials (1980),0,0
1980s,1980,Commercials,A2toWwUvQag,Commercials (1980),0,0
1980s,1980,Music,0gavpnfSpcV,Music (1980),0,0
1980s,1980,Commercials,rCWKOapfnIu,Commercials (1980),0,0
1980s,1980,Commercials,YmT1cE-A8AM,Commercials (1980),0,0
1980s,1980,Music,N9wAvM-wa-m,Music (1980),0,0
1980s,1980,Gameshows,F5O9VpqQ-tW,Gameshows (1980),0,0
1980s,1980,Specials,4GsdOY634zg,Specials (1980),0,0
1980s,1980,Trailers,wdmrot1pa9y,Trailers (1980),0,0
1980s,1980,Trailers,hUnIRqnKQLk,Trailers (1980),0,0
1980s,1980,Sports,Ff8gjNWRCzt,Sports (1980),0,0
1980s,1980,Music,UOhWbtF7UOR,Music (1980),0,0
1980s,1980,Sports,MjgeUaYsfmT,Sports (1980),0,0
1980s,1980,Sports,uY-IgQtHNUd,Sports (1980),0,0
1980s,1980,Music,KRlUA9Ogqg1,Music (1980),0,0
1980s,1980,Gameshows,LLxQU-SclVb,Gameshows (1980),0,0
1980s,1980,Commercials,9h5Mlgq-YaO,Commercials (1980),0,0
1980s,1980,Music,F3sN1nFhAi7,Music (1980),0,0
1980s,1980,Kids,lbmw4b3CiwV,Kids (1980),0,0
1980s,1980,Music,VM-sCknA9w9,Music (1980),0,0
1980s,1980,Sports,-Nc42kP62nV,Sports (1980),0,0
1980s,1980,Trailers,sblePcyNuxl,Trailers (1980),0,0
1980s,1980,Gameshows,uQKrPTnkccL,Gameshows (1980),0,0
1980s,1980,Trailers,4CMnesqxFbR,Trailers (1980),0,0
1980s,1980,Music,hHNoFqVts3Q,Music (1980),0,0
1980s,1980,Commercials,fRMkAa2zGHq,Commercials (1980),0,0
1980s,1980,Commercials,BPJ4BRgMd6o,Commercials (1980),0,0
1980s,1980,Music,c9pq3gLiWss,Music (1980),0,0
1980s,1980,Trailers,j-WmJ1UjJD3,Trailers (1980),0,0
1980s,1980,Commercials,hA19aaNKJot,Commercials (1980),0,0
1980s,1980,Commercials,bQ2AgTIM-Hv,Commercials (1980),0,0
1980s,1980,Commercials,zQhsPeZ8p0R,Commercials (1980),0,0
1980s,1980,Music,V7OWMuUUO_4,Music (1980),0,0
1980s,1980,Trailers,4mw4KvWwgir,Trailers (1980),0,0
1980s,1980,Commercials,BXL0i0-0HMN,Commercials (1980),0,0
1980s,1980,Comedy,sz4q2_l8riq,Comedy (1980),0,0
1980s,1980,Commercials,yefbJqQx9Is,Commercials (1980),0,0
1980s,1980,Sports,oFTZGg1JdSI,Sports (1980),0,0
1980s,1980,Trailers,TKYlCmDxjdh,Trailers (1980),0,0
1980s,1980,Commercials,d28kQRtp77P,Commercials (1980),0,0
1980s,1980,Gameshows,vG4oYXbUv8A,Gameshows (1980),0,0
1980s,1980,Commercials,yIX69GGxPM3,Commercials (1980),0,0
1980s,1980,Commercials,sZSJdwCK0jA,Commercials (1980),0,0
1980s,1980,Music,KpXETWpulwr,Music (1980),0,0
1980s,1980,Commercials,MnLuImTleCY,Commercials (1980),0,0
1980s,1980,Sports,IeqEPj-Qg6k,Sports (1980),0,0
1980s,1980,Specials,O0CAgvvygfb,Specials (1980),0,0
1980s,1980,Music,8Z2gjcY3vkB,Music (1980),0,0
1980s,1980,Gameshows,W0Ow2qjP2G4,Gameshows (1980),0,0
1980s,1980,Trailers,7y5TjXsZIQH,Trailers (1980),0,0
1980s,1980,Trailers,8q-Mx-g-bCx,Trailers (1980),0,0
1980s,1980,Commercials,M-GO71dElVk,Commercials (1980),0,0
1980s,1980,Trailers,ihLG9AdfCgI,Trailers (1980),0,0
1980s,1980,Sports,JzLBCDR-gOw,Sports (1980),0,0
1980s,1980,Commercials,XrgX2cf1X38,Commercials (1980),0,0
1980s,1980,Music,hK8IrzTQPut,Music (1980),0,0
1980s,1980,Music,sInffgUAXIB,Music (1980),0,0
1980s,1980,Trailers,mjzc1uWN9oc,Trailers (1980),0,0
1980s,1980,Trailers,uHY0uoNKZK6,Trailers (1980),0,0
1980s,1980,Commercials,ENQgmSsIz-H,Commercials (1980),0,0
1980s,1980,Trailers,AgWkksTU9Cv,Trailers (1980),0,0
1980s,1980,Sports,guQoQy8o5XJ,Sports (1980),0,0
1980s,1980,Trailers,YFYwXNNJ69k,Trailers (1980),0,0
